Tailored Messaging Event #,"Message Timing
(days from participant start)",Big 2 Decision= ___,"Engagement 
Level List= ___",Importance/ Confidence Rating= ___,Value 1 CONTAINS: ___,Value 2 CONTAINS: ___,Value 3 CONTAINS: ___,Strength 1 CONTAINS: ___,Strength 2 CONTAINS: ___,Strength 3 CONTAINS: ___,Message___
1,16,Complete,High,low/low,parent,,,,,,"Children learn a lot from watching their parents. By continuing to take action to reduce your risk for diabetes, you are modeling a responsible attitude for your kids. Learning from your example, they will be more likely to adopt healthy habits and get a head start on their own good health."
1,16,Complete,High,low/low,spouse,,,,,,"It’s tough to be fully present in the moment if you are worried about your health. Keeping up with actions like participating in the DPP or taking metformin can help you continue to lower your risk for diabetes, which might just give you one less thing to worry about. This can leave you more time and energy to be present for who matters most to you."
1,16,Complete,High,low/low,religious,,,,,,he1_7
1,16,Complete,High,low/low,spiritual,,,,,,he1_10
1,16,Complete,High,low/low,responsible,,,,,,Dealing with a chronic health condition like diabetes can make it hard to keep up with your responsibilities. Your recent efforts to participate in the DPP or take metformin can put you in the best position to be able to fulfill your commitments. 
1,16,Complete,High,low/low,strong,,,,,,"Being strong is a big part of who you are. Many people find that by taking actions to prevent diabetes - like you've been doing - they end up feeling stronger, more powerful, and more energetic. "
1,16,Complete,High,low/low,success,,,,,,"Sticking with new, healthy habits like participating in the DPP or taking metformin can seem like a big challenge. But you’re the kind of person who loves a challenge, and you’re not a quitter. You know that you can keep doing what’s needed to beat this situation, just like you always do."
1,16,Complete,High,low/low,support,,,,,,"Mr. Rogers always said to ""look for the helpers."" That's you. But it's harder to help others if you aren't at your best. Actions you've been taking, like participating in the DPP or taking metformin, can help you stay healthy enough to keep supporting others!"
1,16,Complete,High,low/low,discipline,,,,,,"Maintaining new habits, like participating in the DPP or taking metformin, isn't easy. But you're a person who is in control of your actions. You know how to do what needs doing, and you have what it takes to keep putting in the work to prevent diabetes."
1,16,Complete,High,low/low,youth,,,,,,"Tired, old, and sick - that's not you! Participating in the DPP or taking metformin can help you avoid bigger problems down the road - sustaining the actions you've been taking can help you stay young and full of energy!"
1,16,Complete,High,low/low,respect,,,,,,You can be a role model for others at work by continuing to manage your health through actions like participating in the DPP or taking metformin. The progress you're making by putting in the hard work to prevent diabetes will help you continue to earn your colleagues’ respect.
1,16,Complete,High,low/low,independent,,,,,,Many people find that when dealing with a chronic illness they depend more heavily on others for help – something a person like you wants to avoid. Maintaining your efforts to participate in the DPP or take metformin can help you prevent diabetes and avoid having to rely more on others.
1,16,Complete,High,low/high,parent,,,,,,"Children learn a lot from watching their parents. By continuing to take action to reduce your risk for diabetes, you are modeling a responsible attitude for your kids. Learning from your example, they will be more likely to adopt healthy habits and get a head start on their own good health."
1,16,Complete,High,low/high,spouse,,,,,,"It’s tough to be fully present in the moment if you are worried about your health. Keeping up with actions like participating in the DPP or taking metformin can help you continue to lower your risk for diabetes, which might just give you one less thing to worry about. This can leave you more time and energy to be present for who matters most to you."
1,16,Complete,High,low/high,religious,,,,,,he1_7
1,16,Complete,High,low/high,spiritual,,,,,,he1_10
1,16,Complete,High,low/high,responsible,,,,,,Dealing with a chronic health condition like diabetes can make it hard to keep up with your responsibilities. Your recent efforts to participate in the DPP or take metformin can put you in the best position to be able to fulfill your commitments. 
1,16,Complete,High,low/high,strong,,,,,,"Being strong is a big part of who you are. Many people find that by taking actions to prevent diabetes - like you've been doing - they end up feeling stronger, more powerful, and more energetic. "
1,16,Complete,High,low/high,success,,,,,,"Sticking with new, healthy habits like participating in the DPP or taking metformin can seem like a big challenge. But you’re the kind of person who loves a challenge, and you’re not a quitter. You know that you can keep doing what’s needed to beat this situation, just like you always do."
1,16,Complete,High,low/high,support,,,,,,"Mr. Rogers always said to ""look for the helpers."" That's you. But it's harder to help others if you aren't at your best. Actions you've been taking, like participating in the DPP or taking metformin, can help you stay healthy enough to keep supporting others!"
1,16,Complete,High,low/high,discipline,,,,,,"Maintaining new habits, like participating in the DPP or taking metformin, isn't easy. But you're a person who is in control of your actions. You know how to do what needs doing, and you have what it takes to keep putting in the work to prevent diabetes."
1,16,Complete,High,low/high,youth,,,,,,"Tired, old, and sick - that's not you! Participating in the DPP or taking metformin can help you avoid bigger problems down the road - sustaining the actions you've been taking can help you stay young and full of energy!"
1,16,Complete,High,low/high,respect,,,,,,You can be a role model for others at work by continuing to manage your health through actions like participating in the DPP or taking metformin. The progress you're making by putting in the hard work to prevent diabetes will help you continue to earn your colleagues’ respect.
1,16,Complete,High,low/high,independent,,,,,,Many people find that when dealing with a chronic illness they depend more heavily on others for help – something a person like you wants to avoid. Maintaining your efforts to participate in the DPP or take metformin can help you prevent diabetes and avoid having to rely more on others.
1,16,Complete,High,no recent data,parent,,,,,,"Children learn a lot from watching their parents. By continuing to take action to reduce your risk for diabetes, you are modeling a responsible attitude for your kids. Learning from your example, they will be more likely to adopt healthy habits and get a head start on their own good health."
1,16,Complete,High,no recent data,spouse,,,,,,"It’s tough to be fully present in the moment if you are worried about your health. Keeping up with actions like participating in the DPP or taking metformin can help you continue to lower your risk for diabetes, which might just give you one less thing to worry about. This can leave you more time and energy to be present for who matters most to you."
1,16,Complete,High,no recent data,religious,,,,,,he1_7
1,16,Complete,High,no recent data,spiritual,,,,,,he1_10
1,16,Complete,High,no recent data,responsible,,,,,,Dealing with a chronic health condition like diabetes can make it hard to keep up with your responsibilities. Your recent efforts to participate in the DPP or take metformin can put you in the best position to be able to fulfill your commitments. 
1,16,Complete,High,no recent data,strong,,,,,,"Being strong is a big part of who you are. Many people find that by taking actions to prevent diabetes - like you've been doing - they end up feeling stronger, more powerful, and more energetic. "
1,16,Complete,High,no recent data,success,,,,,,"Sticking with new, healthy habits like participating in the DPP or taking metformin can seem like a big challenge. But you’re the kind of person who loves a challenge, and you’re not a quitter. You know that you can keep doing what’s needed to beat this situation, just like you always do."
1,16,Complete,High,no recent data,support,,,,,,"Mr. Rogers always said to ""look for the helpers."" That's you. But it's harder to help others if you aren't at your best. Actions you've been taking, like participating in the DPP or taking metformin, can help you stay healthy enough to keep supporting others!"
1,16,Complete,High,no recent data,discipline,,,,,,"Maintaining new habits, like participating in the DPP or taking metformin, isn't easy. But you're a person who is in control of your actions. You know how to do what needs doing, and you have what it takes to keep putting in the work to prevent diabetes."
1,16,Complete,High,no recent data,youth,,,,,,"Tired, old, and sick - that's not you! Participating in the DPP or taking metformin can help you avoid bigger problems down the road - sustaining the actions you've been taking can help you stay young and full of energy!"
1,16,Complete,High,no recent data,respect,,,,,,You can be a role model for others at work by continuing to manage your health through actions like participating in the DPP or taking metformin. The progress you're making by putting in the hard work to prevent diabetes will help you continue to earn your colleagues’ respect.
1,16,Complete,High,no recent data,independent,,,,,,Many people find that when dealing with a chronic illness they depend more heavily on others for help – something a person like you wants to avoid. Maintaining your efforts to participate in the DPP or take metformin can help you prevent diabetes and avoid having to rely more on others.
1,16,Complete,High,high/low,,,,creative,,,A common obstacle to sticking with new habits like participating in the DPP or taking metformin is getting stuck in a rut. Your creative streak can help you find ways to keep things interesting. Think about some ways you can put your creative side to work in your efforts to reduce your risk for diabetes.
1,16,Complete,High,high/low,,,,patient,,,"It takes patience and commitment to keep participating in the DPP or taking metformin, but you're a person who knows how to play the long game! You are willing to put in a little more effort now to ensure a better future This will be a big help as you continue taking steps to lower your risk for diabetes. "
1,16,Complete,High,high/low,,,,forgiving,,,"Sometimes people who are really forgiving of others have a hard time forgiving themselves. Think about the advice you would give to a friend who's struggling to stick with new habits like participating in the DPP or taking metformin, and remember it's ok to cut yourself some slack. "
1,16,Complete,High,high/low,,,,thankful,,,"People like you know they can make the most of what they have, and participating in the DPP or taking metformin has given you a chance to address your prediabetes before it becomes something worse! You can continue to show your gratitude for what you have by staying committed to lowering your risk."
1,16,Complete,High,high/low,,,,humor,,,"Being at higher risk of diabetes is serious business - but seeing the funny side of your efforts will make it easier to keep working on habits like participating in the DPP or taking metformin. If you do slip up, it's OK to laugh about it – you can take preventing diabetes seriously without losing your sense of humor!"
1,16,Complete,High,high/low,,,,positive,,,"Some people fixate on slip-ups when they're trying to create healthy habits like what is taught in the DPP or taking metformin, but you know it's more important to give yourself credit for all the times you've succeeded. Finding out what works best for you is a process, and focusing on the small wins can help you see your progress. "
1,16,Complete,High,high/low,,,,illness,,,You've confronted an illness before. Think back on what it took to beat that illness. A lot of the same thoughts and strategies that helped you in the past could also help you keep lowering your risk for diabetes.
1,16,Complete,High,high/low,,,,research,,,"You're someone who does their homework and stays informed - which can be an advantage when it comes to understanding the benefits of sticking with things like participating in the DPP or taking metformin. Think about the research you’ve done, and how it  can help you continue with the steps you’ve been taking."
1,16,Complete,High,high/low,,,,sports,,,"You can leverage a lot of what you get from playing sports to help with your efforts to lower your risk for diabetes. Just like practicing your technique or keeping up with your conditioning, you understand that creating a healthier lifestyle takes work. "
1,16,Complete,High,high/low,,,,learning,,,"A big part of reducing your risk for diabetes is discovering new habits that can help, like participating in the DPP or taking metformin. Your drive to learn new things can be a big asset! Remember to stay on the lookout for the next thing you can learn to help you keep reducing your risk for diabetes."
1,16,Complete,High,high/low,,,,cooking,,,It's tough to nail a new recipe the first time you try it. Maintaining new habits like participating in the DPP or taking metformin can be the same way: you’ve got to keep working at it. You know that it takes practice to get things right in the kitchen - don't forget to have the same patience when it comes to improving your health.
1,16,Complete,High,high/low,,,,flexible,,,"When dealing with a health issue, it's valuable to be able to adapt to new routines. Building healthy new habits like participating in the DPP or taking metformin can require making difficult changes. Consider how your flexibility can help you continue to overcome any challenges you face."
1,16,Complete,High,high/high,parent,,,,,,"Children learn a lot from watching their parents. By continuing to take action to reduce your risk for diabetes, you are modeling a responsible attitude for your kids. You've told us that taking care of your health is important to you, and you're confident that you can do it. Think about how this mindset can help you continue taking actions to prevent diabetes and keep setting a good example."
1,16,Complete,High,high/high,spouse,,,,,,"It's tough to be fully present in the moment if you are worried about your health. You’ve said keeping up with actions like participating in the DPP or taking metformin is important to you, and you're confident you can continue working lowering your risk. Consider how that mindset motivates you to stick with actions to prevent diabetes so that you can be present for who matters most to you."
1,16,Complete,High,high/high,religious,,,,,,he3_7
1,16,Complete,High,high/high,spiritual,,,,,,he3_10
1,16,Complete,High,high/high,responsible,,,,,,You've told us that taking steps to prevent diabetes is important to you and something you're confident you can do. Dealing with a chronic illness like diabetes can make it hard keep up with your responsibilities. Think about how your confident mindset about creating important healthy habits keep you working to prevent diabetes and able to fulfill your commitments.
1,16,Complete,High,high/high,strong,,,,,,"Many people find that by taking actions to prevent diabetes - like you've been doing - they end up feeling stronger, more powerful, and more energetic. This is important to you, and something you're confident you can do. Consider how you can turn this mindset into actions to continue reducing your risk for diabetes and keep yourself healthy and strong."
1,16,Complete,High,high/high,success,,,,,,"Sticking with new, healthy habits like participating in the DPP or taking metformin can be challenging. But you love a challenge, you’re not a quitter, and preventing diabetes is important to you and something you're confident you can do. Ask yourself how you can use that mindset to keep taking steps to lower your risk for diabetes."
1,16,Complete,High,high/high,support,,,,,,"Mr. Rogers always said to ""look for the helpers."" That's you! Actions you've been taking, like participating in the DPP or taking metformin, can help you stay healthy enough to keep supporting others. This is important to you and you're confident you can do it. Contemplate how this mindset can help you keep taking steps to lower your risk for diabetes continue to be one of “the helpers”."
1,16,Complete,High,high/high,discipline,,,,,,"Maintaining new habits, like participating in the DPP or taking metformin, isn’t easy. But you're a person who is in control of your actions. You know how to do what needs doing, which can help you keep doing the work required to prevent diabetes. You've told us this is important to you, and that you're confident you can do it. Consider how you can turn that mindset into motivation to stick it out and keep up the actions you’re taking to lower your risk for diabetes."
1,16,Complete,High,high/high,youth,,,,,,"Tired, old, and sick - that's not you! Participating in the DPP or taking metformin can help you avoid bigger problems down the road. You're confident you can prevent diabetes, and doing so is important to you. Think about how applying that positive mindset could help you sustain the actions you've been taking to prevent diabetes so you can stay young and full of energy?"
1,16,Complete,High,high/high,respect,,,,,,"You can be a role model for others at work by continuing to manage your health through actions like participating in the DPP or taking metformin. Preventing diabetes is important to you, and something you feel confident you can do. Ask yourself how you can use that mindset to keep lowering your risk showing how you put in the hard work to deal with your challenges."
1,16,Complete,High,high/high,independent,,,,,,"When dealing with a chronic illness, many find they depend more heavily on others for help – which an independent person like you wants to avoid. Taking steps to prevent diabetes can help avoid this, and that's important to you and something you think you can do. Reflect on how this positive mindset can help you continue taking steps to lower your risk for diabetes, and maintain your independence."
1,16,Complete,Reduced,low/low,parent,,,,,,"Children learn a lot from watching their parents. By taking care of your health now, you can model a responsible attitude for your kids. Learning from your example, they will be more likely to adopt healthy habits and get a head start on their own good health."
1,16,Complete,Reduced,low/low,spouse,,,,,,"It's tough to be fully present in the moment if you are worried about your health. Sticking it out with actions like participating in the DPP or taking metformin can help lower your risk for diabetes, which might just give you one less thing to worry about. This could leave you more time and energy to be present for who matters most to you."
1,16,Complete,Reduced,low/low,religious,,,,,,re1_7
1,16,Complete,Reduced,low/low,spiritual,,,,,,re1_10
1,16,Complete,Reduced,low/low,responsible,,,,,,Dealing with a chronic health condition like diabetes can make it hard to keep up with your responsibilities. Sticking with efforts to participate in the DPP or take metformin can put you in the best position to be able to fulfill your commitments.
1,16,Complete,Reduced,low/low,strong,,,,,,"Being strong is a big part of who you are. Many people find that consistently taking action to prevent diabetes leaves them feeling stronger, more powerful, and more energetic. "
1,16,Complete,Reduced,low/low,success,,,,,,"Making a habit out of participating in the DPP or taking metformin can seem like a big challenge. But you’re the kind of person who loves a challenge, and you’re not a quitter. You know that you will do what’s needed to beat this situation."
1,16,Complete,Reduced,low/low,support,,,,,,"Mr. Rogers always said to ""look for the helpers."" That's you. But it's harder to help others if you aren't at your best. Sticking with actions like participating in the DPP or taking metformin can help you stay healthy enough to keep supporting others!"
1,16,Complete,Reduced,low/low,discipline,,,,,,"Building habits like participating in the DPP or taking metformin isn't easy. But you're a person who is in control of your actions. You know how to do what needs doing, and you have what it takes to put in the work to prevent diabetes."
1,16,Complete,Reduced,low/low,youth,,,,,,"Tired, old, and sick - that's not you! Participating in the DPP or taking metformin can help you avoid bigger problems down the road. Building and sustaining habits like these can help you stay young and full of energy."
